on	0	0
on	500000	1
on	1000000	2
on	1500000	3
on	2000000	4
on	2500000	5
on	3000000	6
on	3500000	7
on	4000000	8
on	4500000	9
on	5000000	10
on	5500000	11
on	6000000	12
on	6500000	13
on	7000000	14
on	7500000	15
on	8000000	16
on	8500000	17
on	9000000	18
on	9500000	19
on	10000000	20
on	10500000	21
on	11000000	22
on	11500000	23
on	12000000	24
on	12500000	25
on	13000000	26
on	13500000	27
on	14000000	28
on	14500000	29
on	15000000	30
on	15500000	31
on	16000000	32
on	16500000	33
on	17000000	34
on	17500000	35
on	18000000	36
on	18500000	37
on	19000000	38
on	19500000	39
on	20000000	100
on	20500000	101
on	21000000	102
on	21500000	103
on	22000000	104
on	22500000	105
on	23000000	106
on	23500000	107
on	24000000	108
on	24500000	109
on	25000000	110
on	25500000	111
on	26000000	112
on	26500000	113
on	27000000	114
on	27500000	115
on	28000000	116
on	28500000	117
on	29000000	118
on	29500000	119
on	30000000	120
on	30500000	121
on	31000000	122
on	31500000	123
on	32000000	124
on	32500000	125
on	33000000	126
on	33500000	127
on	34000000	128
on	34500000	129
on	35000000	130
on	35500000	131
on	36000000	133
on	36500000	134
on	37000000	135
on	37500000	136
on	38000000	137
on	38500000	138
on	39000000	139
